une	motor	hurdnii_hairtsag	hurd	turul	ungu	uild_on	orj_on	hudulguur	dotor_ungu	leasing	hutlugchn	kilo	nuhtsul	haalga
480	4.0	Автомат	Зөв	Жийп	Боронзон	2021	2021	Бензин	Хар	Лизинггүй	Бүх дугуй 4WD	50000	Дугаар авсан	5
45	3.2	Автомат	Зөв	Суудлын тэрэг	Хар	1994	2024	Бензин	Хар	Лизинггүй	Хойноо RWD	200000	Дугаар аваагүй	5
65	5.0	Автомат	Зөв	Жийп	Хар	2002	2012	Бензин	Хар	Лизинггүй	Бүх дугуй 4WD	100000	Дугаар авсан	5
45	3.3	Автомат	Зөв	Суудлын тэрэг	Цагаан	2014	2018	Бензин	Хар	Лизинггүй	Бүх дугуй 4WD	160000	Дугаар авсан	4
47	1.6	Автомат	Буруу	Суудлын тэрэг	Хар	2018	2020	Бензин	Хар	Лизинггүй	Урдаа FWD	29000	Дугаар авсан	5
150	2.0	Автомат	Буруу	Гэр бүлийн	Бусад	2016	2023	Дизель	Бусад	Лизинггүй	Бүх дугуй 4WD	135000	Дугаар авсан	4
29.9	1.6	Автомат	Буруу	Суудлын тэрэг	Бор	2013	2023	Бензин	Хар	Лизинггүй	Урдаа FWD	136000	Дугаар авсан	5
95	5.5	Автомат	Зөв	Жийп	Хүрэн	2009	2009	Бензин	Бусад	ББСБ лизингтэй	Бүх дугуй 4WD	1500000	Дугаар авсан	4
85	0.6	Автомат	Буруу	Жийп	Цайвар цэнхэр	2017	2022	Бензин	Хар	Лизинггүй	Бүх дугуй 4WD	10000	Дугаар авсан	5
160	3.0	Автомат	Зөв	Суудлын тэрэг	Хар	2016	2024	Бензин	Хар	Банкны лизингтэй	Бүх дугуй 4WD	77000	Дугаар аваагүй	4
290	4.0	Автомат	Зөв	Суудлын тэрэг	Хар	2018	2024	Бензин	Бор	Банкны лизингтэй	Бүх дугуй 4WD	56000	Дугаар аваагүй	4
300	4.0	Автомат	Зөв	Суудлын тэрэг	Хар	2018	2024	Бензин	Цагаан шар	Банкны лизингтэй	Бүх дугуй 4WD	65000	Дугаар аваагүй	4
38.3	3.0	Автомат	Зөв	Суудлын тэрэг	Цагаан	2013	2018	Бензин	Хар	Лизинггүй	Бүх дугуй 4WD	110000	Дугаар авсан	4
118	2.0	Автомат	Зөв	Жийп	Цагаан	2016	2024	Хайбрид	Хар	Лизинггүй	Бүх дугуй 4WD	39000	Дугаар аваагүй	5
65	2.0	Автомат	Буруу	Суудлын тэрэг	Саарал	2016	2021	Бензин	Хар	ББСБ лизингтэй	Хойноо RWD	26500	Дугаар авсан	5
30	3.5	Автомат	Буруу	Суудлын тэрэг	Хар	2010	2020	Бензин	Хар	Лизинггүй	Хойноо RWD	95000	Дугаар авсан	4
30	0.6	Автомат	Буруу	Суудлын тэрэг	Улаан	2013	2017	Бензин	Хар	Лизинггүй	Урдаа FWD	100100	Дугаар авсан	5
245	3.0	Автомат	Зөв	Суудлын тэрэг	Хар	2020	2024	Бензин	Хар	Лизинггүй	Бүх дугуй 4WD	60000	Дугаар аваагүй	5
58	2.0	Автомат	Зөв	Суудлын тэрэг	Цагаан	2014	2020	Бензин	Бусад	Лизинггүй	Хойноо RWD	105000	Дугаар авсан	2
98	2.0	Автомат	Зөв	Суудлын тэрэг	Хар	2016	2024	Бензин	Бор	Банкны лизингтэй	Бүх дугуй 4WD	71	Дугаар аваагүй	4
140	1.4	Автомат	Зөв	Суудлын тэрэг	Хар	2023	2023	Бензин	Хар	Банкны лизингтэй	Урдаа FWD	320	Дугаар авсан	5
115	3.0	Автомат	Зөв	Жийп	Бусад	2015	2023	Бензин	Шаргал	ББСБ лизингтэй	Бүх дугуй 4WD	136000	Дугаар аваагүй	4
25	1.2	Автомат	Буруу	Суудлын тэрэг	Саарал	2012	2022	Бензин	Хар	Лизинггүй	Урдаа FWD	200000	Дугаар авсан	5
170	3.7	Автомат	Зөв	Жийп	Цэнхэр	2017	2021	Бензин	Шаргал	Лизинггүй	Бүх дугуй 4WD	70000	Дугаар авсан	4
42	3.5	Автомат	Зөв	Суудлын тэрэг	Хар саарал	2015	2019	Бензин	Шаргал	ББСБ лизингтэй	Бүх дугуй 4WD	100000	Дугаар авсан	4
300	3.5	Автомат	Зөв	Жийп	Ногоон	2021	2023	Бензин	Хар	ББСБ лизингтэй	Бүх дугуй 4WD	11000	Дугаар авсан	4
98	2.0	Автомат	Зөв	Суудлын тэрэг	Саарал	2016	2024	Бензин	Бор	ББСБ лизингтэй	Бүх дугуй 4WD	90000	Дугаар аваагүй	5
29	1.8	Автомат	Буруу	Суудлын тэрэг	Сувдан цагаан	2012	2020	Бензин	Хар	Лизинггүй	Хойноо RWD	153602	Дугаар авсан	3
110	1.9	Автомат	Зөв	Суудлын тэрэг	Саарал	2016	2023	Бензин	Бор	Лизинггүй	Хойноо RWD	56000	Дугаар авсан	4
59.9	2.0	Автомат	Зөв	Суудлын тэрэг	Саарал	2014	2022	Бензин	Хар	Банкны лизингтэй	Хойноо RWD	89000	Дугаар авсан	4
55	3.9	Автомат	Буруу	Жийп	Хар	2003	2010	Бензин	Цагаан шар	Лизинггүй	Бүх дугуй 4WD	377279	Дугаар авсан	5
445	4.0	Автомат	Зөв	Жийп	Цагаан	2020	2020	Бензин	Хар	Лизинггүй	Бүх дугуй 4WD	12345	Дугаар авсан	4
78	1.9	Автомат	Буруу	Суудлын тэрэг	Хар	2015	2024	Бензин	Хар	ББСБ лизингтэй	Хойноо RWD	73000	Дугаар авсан	5
490	4.0	Автомат	Зөв	Жийп	Хар	2021	2022	Бензин	Хар	ББСБ лизингтэй	Бүх дугуй 4WD	25000	Дугаар авсан	3
36	1.8	Автомат	Буруу	Суудлын тэрэг	Цагаан	2013	2024	Бензин	Хар	ББСБ лизингтэй	Хойноо RWD	83000	Дугаар авсан	5
35	1.5	Автомат	Буруу	Суудлын тэрэг	Ягаан	2016	2024	Бензин	Хар	Лизинггүй	Урдаа FWD	72000	Дугаар авсан	5
41	3.5	Автомат	Зөв	Суудлын тэрэг	Хар	2012	2021	Бензин	Хар	Лизинггүй	Бүх дугуй 4WD	230000	Дугаар авсан	4
79	2.0	Автомат	Буруу	Суудлын тэрэг	Хар	2016	2024	Бензин	Хар	Банкны лизингтэй	Хойноо RWD	112000	Дугаар аваагүй	5
